Standard,Year,QUESTION,Primary,Secondary
90944,2011,1,1,1
90944,2011,1,2,1
90944,2011,2,1,1
90944,2011,2,2,1
90944,2011,2,3,1
90944,2011,3,1,1
90944,2011,4,1,1
