Standard,Year,QUESTION,Primary,Secondary
90983,2022,1,1,1
90983,2022,1,2,1
90983,2022,1,3,1
90983,2022,1,4,1
90983,2022,1,5,1
90983,2022,1,6,1
90983,2022,1,7,1
90983,2022,2,1,1
90983,2022,2,2,1
90983,2022,2,3,1
90983,2022,2,4,1
90983,2022,3,1,1
90983,2022,3,2,1
90983,2022,3,3,1
90983,2022,3,4,1
